"city","state","county","id"
lakewood,co,jefferson,778296
kansas city,ks,wyandotte,778297
odessa,tx,ector,778298
sunnyvale,ca,santa clara,778299
new bedford,ma,bristol,778300
hollywood,fl,broward,778301
south lyon,mi,oakland,778302
escondido,ca,san diego,778303
lake charles,la,calcasieu,778304
pasadena,tx,harris,778305
bellevue,wa,king,778306
joliet,il,will,778307
champaign,il,champaign,778308
pomona,ca,los angeles,778309
fairfield,ca,solano,778310
mesquite,tx,dallas,778311
elkhart,in,elkhart,778312
naperville,il,dupage,778313
st. george,ut,washington,778314
roseville,ca,placer,778315
topeka,ks,shawnee,778316
burlington,nc,alamance,778317
warner robins,ga,houston,778318
surprise,az,maricopa,778319
torrance,ca,los angeles,778320
santa maria,ca,santa barbara,778321
athens,ga,clarke,778322
houma,la,terrebonne,778323
columbia,mo,boone,778324
fullerton,ca,orange,778325
olathe,ks,johnson,778326
thornton,co,adams,778327
greeley,co,weld,778328
beaumont,tx,jefferson,778329
las cruces,nm,doña ana,778330
midland,tx,midland,778331
metairie,la,jefferson,778332
carolina,pr,carolina,778333
west valley city,ut,salt lake,778334
orange,ca,orange,778335
warren,mi,macomb,778336
grand junction,co,mesa,778337
tyler,tx,smith,778338
pasadena,ca,los angeles,778339
hampton,va,hampton,778340
bloomington,il,mclean,778341
elizabeth,nj,union,778342
stamford,ct,western connecticut,778343
yuma,az,yuma,778344
kent,wa,king,778345
miramar,fl,broward,778346
coeur d'alene,id,kootenai,778347
coral springs,fl,broward,778348
sterling heights,mi,macomb,778349
yuba city,ca,sutter,778350
yakima,wa,yakima,778351
carrollton,tx,dallas,778352
racine,wi,racine,778353
johnson city,tn,washington,778354
billings,mt,yellowstone,778355
iowa city,ia,johnson,778356
dover,de,kent,778357
bellingham,wa,whatcom,778358
charleston,wv,kanawha,778359
lynchburg,va,lynchburg,778360
santa clara,ca,santa clara,778361
norman,ok,cleveland,778362
greenville,nc,pitt,778363
simi valley,ca,ventura,778364
fort smith,ar,sebastian,778365
abilene,tx,taylor,778366
arecibo,pr,arecibo,778367
lewisville,tx,denton,778368
pearland,tx,brazoria,778369
lehigh acres,fl,lee,778370
kenosha,wi,kenosha,778371
seaside,ca,monterey,778372
burlington,vt,chittenden,778373
arvada,co,jefferson,778374
waldorf,md,charles,778375
independence,mo,jackson,778376
rochester,mn,olmsted,778377
logan,ut,cache,778378
harlingen,tx,cameron,778379
berkeley,ca,alameda,778380
clovis,ca,fresno,778381
round rock,tx,williamson,778382
pueblo,co,pueblo,778383
temple,tx,bell,778384
meridian,id,ada,778385
duluth,mn,st. louis,778386
the woodlands,tx,montgomery,778387
boulder,co,boulder,778388
richardson,tx,dallas,778389
cambridge,ma,middlesex,778390
west palm beach,fl,palm beach,778391
port arthur,tx,jefferson,778392
east los angeles,ca,los angeles,778393
redding,ca,shasta,778394
clearwater,fl,pinellas,778395
monroe,la,ouachita,778396
utica,ny,oneida,778397
st. cloud,mn,stearns,778398
mandeville,la,st. tammany,778399
west jordan,ut,salt lake,778400
north charleston,sc,charleston,778401
richmond,ca,contra costa,778402
westminster,co,adams,778403
saginaw,mi,saginaw,778404
kailua,hi,honolulu,778405
brandon,fl,hillsborough,778406
ponce,pr,ponce,778407
carlsbad,ca,san diego,778408
lowell,ma,middlesex,778409
broken arrow,ok,tulsa,778410
elgin,il,kane,778411
gresham,or,multnomah,778412
league city,tx,galveston,778413
downey,ca,los angeles,778414
waterloo,ia,black hawk,778415
murrieta,ca,riverside,778416
leominster,ma,worcester,778417
longview,tx,gregg,778418
jacksonville,nc,onslow,778419
pompano beach,fl,broward,778420
bend,or,deschutes,778421
miami gardens,fl,miami-dade,778422
costa mesa,ca,orange,778423
sioux city,ia,woodbury,778424
everett,wa,snohomish,778425
gilroy,ca,santa clara,778426
san buenaventura,ca,ventura,778427
temecula,ca,riverside,778428
sugar land,tx,fort bend,778429
chico,ca,butte,778430
eau claire,wi,eau claire,778431
el monte,ca,los angeles,778432
idaho falls,id,bonneville,778433
dearborn,mi,wayne,778434
bloomington,in,monroe,778435
west covina,ca,los angeles,778436
sparks,nv,washoe,778437
south fulton,ga,fulton,778438
centennial,co,arapahoe,778439
sandy springs,ga,fulton,778440
inglewood,ca,los angeles,778441
hillsboro,or,washington,778442
columbia,md,howard,778443
burbank,ca,los angeles,778444
davie,fl,broward,778445
el cajon,ca,san diego,778446
jurupa valley,ca,riverside,778447
allen,tx,collin,778448
auburn,al,lee,778449
renton,wa,king,778450
holland,mi,ottawa,778451
brockton,ma,plymouth,778452
rio rancho,nm,sandoval,778453
san mateo,ca,san mateo,778454
rialto,ca,san bernardino,778455
spokane valley,wa,spokane,778456
charlottesville,va,charlottesville,778457
menifee,ca,riverside,778458
daly city,ca,san mateo,778459
wichita falls,tx,wichita,778460
riverview,fl,hillsborough,778461
norwalk,ca,los angeles,778462
lee's summit,mo,jackson,778463
longmont,co,boulder,778464
vacaville,ca,solano,778465
highlands ranch,co,douglas,778466
kingsport,tn,sullivan,778467
san tan valley,az,pinal,778468
quincy,ma,norfolk,778469
edinburg,tx,hidalgo,778470
lynn,ma,essex,778471
san angelo,tx,tom green,778472
hesperia,ca,san bernardino,778473
bowling green,ky,warren,778474
federal way,wa,king,778475
carmel,in,hamilton,778476
bismarck,nd,burleigh,778477
fishers,in,hamilton,778478
lafayette,co,boulder,778479
vista,ca,san diego,778480
boca raton,fl,palm beach,778481
st. augustine,fl,st. johns,778482
beaverton,or,washington,778483
goodyear,az,maricopa,778484
portsmouth,va,portsmouth,778485
orem,ut,utah,778486
sunrise,fl,broward,778487
portsmouth,nh,rockingham,778488
arden-arcade,ca,sacramento,778489
lawrence,ks,douglas,778490
sandy,ut,salt lake,778491
slidell,la,st. tammany,778492
buckeye,az,maricopa,778493
livonia,mi,wayne,778494
williamsburg,va,williamsburg,778495
suffolk,va,suffolk,778496
compton,ca,los angeles,778497
la crosse,wi,la crosse,778498
edmond,ok,oklahoma,778499
carson,ca,los angeles,778500
san marcos,ca,san diego,778501
tracy,ca,san joaquin,778502
prescott valley,az,yavapai,778503
middletown,oh,butler,778504
fall river,ma,bristol,778505
san germán,pr,san germán,778506
santa fe,nm,santa fe,778507
plantation,fl,broward,778508
mayagüez,pr,mayagüez,778509
new braunfels,tx,comal,778510
roswell,ga,fulton,778511
conroe,tx,montgomery,778512
south gate,ca,los angeles,778513
santa monica,ca,los angeles,778514
kirkland,wa,king,778515
hoover,al,jefferson,778516
o'fallon,mo,st. charles,778517
alafaya,fl,orange,778518
palm coast,fl,flagler,778519
norwalk,ct,western connecticut,778520
lawton,ok,comanche,778521
chino,ca,san bernardino,778522
mount pleasant,sc,charleston,778523
manteca,ca,san joaquin,778524
westminster,ca,orange,778525
florence,sc,florence,778526
joplin,mo,jasper,778527
germantown,md,montgomery,778528
san leandro,ca,alameda,778529
town 'n' country,fl,hillsborough,778530
clifton,nj,passaic,778531
waukegan,il,lake,778532
bloomington,mn,hennepin,778533
avondale,az,maricopa,778534
atascocita,tx,harris,778535
missoula,mt,missoula,778536
fort myers,fl,lee,778537
newton,ma,middlesex,778538
lawrence,ma,essex,778539
muncie,in,delaware,778540
rapid city,sd,pennington,778541
troy,mi,oakland,778542
livermore,ca,alameda,778543
citrus heights,ca,sacramento,778544
hawthorne,ca,los angeles,778545
winchester,va,winchester,778546
springdale,ar,washington,778547
whittier,ca,los angeles,778548
deerfield beach,fl,broward,778549
decatur,il,macon,778550
san ramon,ca,contra costa,778551
vineland,nj,cumberland,778552
mission,tx,hidalgo,778553
auburn,wa,king,778554
lake forest,ca,orange,778555
newport beach,ca,orange,778556
melbourne,fl,brevard,778557
brooklyn park,mn,hennepin,778558
bryan,tx,brazos,778559
westland,mi,wayne,778560
napa,ca,napa,778561
baytown,tx,harris,778562
cicero,il,cook,778563
anderson,in,madison,778564
franklin,tn,williamson,778565
farmington hills,mi,oakland,778566
buena park,ca,orange,778567
albany,ga,dougherty,778568
pine hills,fl,orange,778569
state college,pa,centre,778570
redwood city,ca,san mateo,778571
warwick,ri,kent,778572
jackson,mi,jackson,778573
cranston,ri,providence,778574
largo,fl,pinellas,778575
miami beach,fl,miami-dade,778576
alhambra,ca,los angeles,778577
johns creek,ga,fulton,778578
mountain view,ca,santa clara,778579
salisbury,md,wicomico,778580
morgantown,wv,monongalia,778581
silver spring,md,montgomery,778582
layton,ut,davis,778583
springfield,oh,clark,778584
lakewood,ca,los angeles,778585
florence,al,lauderdale,778586
folsom,ca,sacramento,778587
madera,ca,madera,778588
new rochelle,ny,westchester,778589
parma,oh,cuyahoga,778590
terre haute,in,vigo,778591
somerville,ma,middlesex,778592
flagstaff,az,coconino,778593
boynton beach,fl,palm beach,778594
homestead,fl,miami-dade,778595
newark,oh,licking,778596
plymouth,mn,hennepin,778597
anniston,al,calhoun,778598
texarkana,tx,bowie,778599
tustin,ca,orange,778600
pharr,tx,hidalgo,778601
port huron,mi,st. clair,778602
turlock,ca,stanislaus,778603
rancho cordova,ca,sacramento,778604
the villages,fl,sumter,778605
milpitas,ca,santa clara,778606
perris,ca,riverside,778607
upland,ca,san bernardino,778608
alton,il,madison,778609
pleasanton,ca,alameda,778610
kendall,fl,miami-dade,778611
jonesboro,ar,craighead,778612
bellflower,ca,los angeles,778613
battle creek,mi,calhoun,778614
chino hills,ca,san bernardino,778615
cheyenne,wy,laramie,778616
lebanon,pa,lebanon,778617
carmichael,ca,sacramento,778618
south jordan,ut,salt lake,778619
davis,ca,yolo,778620
elizabethtown,ky,hardin,778621
schaumburg,il,cook,778622
alameda,ca,alameda,778623
hammond,in,lake,778624
pasco,wa,franklin,778625
evanston,il,cook,778626
lehi,ut,utah,778627
alexandria,la,rapides,778628
north port,fl,sarasota,778629
arlington heights,il,cook,778630
camarillo,ca,ventura,778631
wyoming,mi,kent,778632
flower mound,tx,denton,778633
bethlehem,pa,northampton,778634
hattiesburg,ms,forrest,778635
loveland,co,larimer,778636
pittsburg,ca,contra costa,778637
cedar park,tx,williamson,778638
wenatchee,wa,chelan,778639
southfield,mi,oakland,778640
rochester hills,mi,oakland,778641
hammond,la,tangipahoa,778642
valdosta,ga,lowndes,778643
owensboro,ky,daviess,778644
apple valley,ca,san bernardino,778645
woodbury,mn,washington,778646
pawtucket,ri,providence,778647
st. joseph,mo,buchanan,778648
doral,fl,miami-dade,778649
dover,nh,strafford,778650
missouri city,tx,fort bend,778651
saratoga springs,ny,saratoga,778652
pocatello,id,bannock,778653
oshkosh,wi,winnebago,778654
new britain,ct,capitol,778655
castle rock,co,douglas,778656
lauderhill,fl,broward,778657
broomfield,co,broomfield,778658
dale city,va,prince william,778659
bolingbrook,il,will,778660
redmond,wa,king,778661
caguas,pr,caguas,778662
mansfield,tx,tarrant,778663
ellicott city,md,howard,778664
sheboygan,wi,sheboygan,778665
mansfield,oh,richland,778666
glens falls,ny,warren,778667
daytona beach,fl,volusia,778668
lodi,ca,san joaquin,778669
redlands,ca,san bernardino,778670
harrisonburg,va,harrisonburg,778671
dothan,al,houston,778672
cleveland,tn,bradley,778673
jackson,tn,madison,778674
mount vernon,ny,westchester,778675
centreville,va,fairfax,778676
altoona,pa,blair,778677
framingham,ma,middlesex,778678
camden,nj,camden,778679
georgetown,tx,williamson,778680
baldwin park,ca,los angeles,778681
rocklin,ca,placer,778682
porterville,ca,tulare,778683
tamarac,fl,broward,778684
glen burnie,md,anne arundel,778685
blacksburg,va,montgomery,778686
wausau,wi,marathon,778687
sumter,sc,sumter,778688
janesville,wi,rock,778689
brunswick,ga,glynn,778690
dublin,ca,alameda,778691
wilmington,de,new castle,778692
waukesha,wi,waukesha,778693
fairbanks,ak,fairbanks north star,778694
lakeville,mn,dakota,778695
st. charles,mo,st. charles,778696
redondo beach,ca,los angeles,778697
spring hill,tn,maury,778698
bayonne,nj,hudson,778699
grand forks,nd,grand forks,778700
noblesville,in,hamilton,778701
guaynabo,pr,guaynabo,778702
el paso de robles,ca,san luis obispo,778703
north richland hills,tx,tarrant,778704
maple grove,mn,hennepin,778705
passaic,nj,passaic,778706
blaine,mn,anoka,778707
lake elsinore,ca,riverside,778708
rogers,ar,benton,778709
casas adobes,az,pima,778710
sherman,tx,grayson,778711
walnut creek,ca,contra costa,778712
conway,ar,faulkner,778713
eastvale,ca,riverside,778714
union city,ca,alameda,778715
michigan city,in,laporte,778716
poinciana,fl,polk,778717
tulare,ca,tulare,778718
gary,in,lake,778719
gaithersburg,md,montgomery,778720
east orange,nj,essex,778721
wesley chapel,fl,pasco,778722
west des moines,ia,polk,778723
dalton,ga,whitfield,778724
dubuque,ia,dubuque,778725
schenectady,ny,schenectady,778726
ankeny,ia,polk,778727
maricopa,az,pinal,778728
eagan,mn,dakota,778729
hanford,ca,kings,778730
bristol,tn,sullivan,778731
yorba linda,ca,orange,778732
weston,fl,broward,778733
watsonville,ca,santa cruz,778734
palo alto,ca,santa clara,778735
south hill,wa,pierce,778736
shawnee,ks,johnson,778737
san marcos,tx,hays,778738
great falls,mt,cascade,778739
haverhill,ma,essex,778740
union city,nj,hudson,778741
palatine,il,cook,778742
longview,wa,cowlitz,778743
corvallis,or,benton,778744
rockville,md,montgomery,778745
skokie,il,cook,778746
mount vernon,wa,skagit,778747
casper,wy,natrona,778748
ames,ia,story,778749
delray beach,fl,palm beach,778750
sammamish,wa,king,778751
lynwood,ca,los angeles,778752
dundalk,md,baltimore,778753
bethesda,md,montgomery,778754
morristown,tn,hamblen,778755
juana díaz,pr,juana díaz,778756
kankakee,il,kankakee,778757
fajardo,pr,fajardo,778758
alpharetta,ga,fulton,778759
novi,mi,oakland,778760
kenner,la,jefferson,778761
bay city,mi,bay,778762
victoria,tx,victoria,778763
south san francisco,ca,san mateo,778764
apex,nc,wake,778765
parkersburg,wv,wood,778766
malden,ma,middlesex,778767
castro valley,ca,alameda,778768
bozeman,mt,gallatin,778769
brentwood,ny,suffolk,778770
waltham,ma,middlesex,778771
pflugerville,tx,travis,778772
north little rock,ar,pulaski,778773
brentwood,ca,contra costa,778774
laguna niguel,ca,orange,778775
san clemente,ca,orange,778776
burnsville,mn,dakota,778777
spring,tx,harris,778778
port charlotte,fl,charlotte,778779
eden prairie,mn,hennepin,778780
greenwood,in,johnson,778781
millcreek,ut,salt lake,778782
bellevue,ne,sarpy,778783
coon rapids,mn,anoka,778784
rowlett,tx,dallas,778785
hamilton,oh,butler,778786
lakewood,wa,pierce,778787
florence-graham,ca,los angeles,778788
commerce city,co,adams,778789
bossier city,la,bossier,778790
taylor,mi,wayne,778791
la habra,ca,orange,778792
port orange,fl,volusia,778793
moore,ok,cleveland,778794
council bluffs,ia,pottawattamie,778795
leander,tx,williamson,778796
dearborn heights,mi,wayne,778797
reston,va,fairfax,778798
montebello,ca,los angeles,778799
pontiac,mi,oakland,778800
encinitas,ca,san diego,778801
queen creek,az,maricopa,778802
medford,ma,middlesex,778803
springfield,or,lane,778804
hendersonville,tn,sumner,778805
palm harbor,fl,pinellas,778806
pico rivera,ca,los angeles,778807
marietta,ga,cobb,778808
wellington,fl,palm beach,778809
sanford,fl,seminole,778810
woodland,ca,yolo,778811
caldwell,id,canyon,778812
